-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
1.37,-48.8,-15.6,-9.88,-1.51,-14.2,-27.3,5.26,14.1,2.63,-8.14,-8.15,0.13,0
-0.0286,-28.4,-20.3,-10.6,2.67,-19.5,9.45,-9.64,-0.287,5.76,-10.9,10.8,-11.0,0
1.76,-38.1,3.01,-5.54,-18.2,-8.4,2.96,2.19,6.27,2.74,-6.27,11.3,-0.452,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
4.78,-28.3,-13.8,19.3,-4.22,-6.91,1.18,-18.0,4.51,6.78,-0.608,0.15,-1.97,0
2.28,-29.7,-21.5,-26.3,-7.49,20.7,4.4,10.9,6.04,-6.59,-16.1,-6.24,-9.0,0
1.07,-39.7,-12.5,0.293,-13.1,-13.9,-28.1,-4.41,4.05,9.47,-10.2,0.189,0.629,0
4.0,-20.5,-12.9,-0.891,-1.16,1.19,-2.61,-5.0,-15.0,-17.6,15.3,-11.2,-12.4,0
0.671,-38.1,-18.0,-14.2,-11.9,-10.1,4.86,-1.81,-1.74,-7.57,7.64,0.612,-6.77,0
2.83,-34.1,-5.55,16.0,15.7,10.7,-8.59,-11.1,3.59,-6.47,3.89,15.4,0.0484,0
1.36,-40.6,-3.9,3.47,1.84,-10.1,-11.3,10.8,6.85,-8.28,-7.16,-7.36,-3.06,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
4.89,-18.1,-25.0,-2.41,-7.78,-3.06,14.0,-6.18,-4.09,-4.04,-13.8,-4.87,19.1,0
1.07,-21.2,-9.72,-9.2,7.06,15.0,1.83,-11.9,-3.35,-1.5,-8.42,-9.17,-7.21,0
2.98,-17.2,-8.64,-15.3,-3.9,6.3,13.1,-6.22,-15.4,-9.15,8.66,7.75,-13.2,0
1.48,-24.6,-0.843,-0.373,-6.88,-3.92,-2.19,3.37,-11.4,11.9,8.49,6.42,-13.2,0
3.68,-29.8,-22.0,-5.52,4.38,-13.3,10.8,0.632,-25.1,-10.4,-2.61,-14.7,-21.4,0
3.92,-31.5,0.0854,2.13,-5.43,11.1,-9.03,-11.5,-6.69,13.4,2.49,14.3,-2.7,0
7.22,-31.7,-23.4,21.8,-5.07,17.7,-18.2,-2.21,10.4,-6.13,-1.53,7.52,3.91,0
1.92,-44.3,-8.01,-4.51,-14.8,-16.2,15.0,-16.9,-0.696,10.2,14.6,2.23,-22.8,0
1.99,-27.2,-1.6,-3.87,-1.74,17.9,5.51,-7.84,-5.41,-7.18,-3.6,2.31,5.68,0
1.78,-8.41,-6.88,-27.8,-3.25,-9.58,9.59,1.96,-15.0,4.58,14.8,-2.64,-0.951,0
4.15,-31.1,-11.5,-0.932,-7.96,14.1,9.26,22.0,9.71,-18.0,18.0,2.57,-0.813,0
3.72,-35.8,-16.4,6.34,0.0027,5.43,-4.51,9.12,-0.683,-3.77,11.7,-4.22,-1.23,0
0.671,-34.3,-10.8,-5.86,-10.1,-14.1,7.57,-2.09,-10.1,8.46,-4.58,-0.3,1.51,0
